OBJECTID,PERIMETER,POLYID,SNBNAME,GLOBALID,cohgisCOHGISSNBRAREA,cohgisCOHGISSNBRLEN,COUNCIL_ACTIVE,RECOGNITION_DATE,SnbrInfoURL,WeCan,Top10,CEA_FLAG,Shapearea,Shapelen
60,43226.715,38,WILLOW MEADOWS / WILLOWBEND AREA,{2797E07B-3FBD-4D13-B0A6-EC18C2D27CA8},0,0,,,http://www.houstontx.gov/superneighborhoods/38.html,,,N,89009841.0741095,43226.7147577474
61,47833.624,30,BRAEBURN,{13DA8E22-8989-413A-AF9B-D4E3BC79ECAA},0,0,Yes,2008-05-13T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/30.html,,,Y,67908169.3604386,47833.6234131111
62,47081.994,35,SOUTH MAIN,{1857E855-A280-45DA-968A-0287E8F0EA57},0,0,,,http://www.houstontx.gov/superneighborhoods/35.html,,,Y,77994135.1128579,47081.9939752755
63,55769.223,72,SOUTH PARK,{51D5DAD7-A48A-4CF9-8DB6-A3DFD5DBF9DF},0,0,Yes,2000-03-06T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/72.html,Y,,Y,121945971.548218,55769.2225871905
64,49215.228,34,ASTRODOME AREA,{EDDDA8F6-6329-446A-8B88-DD990FE7A075},0,0,,,http://www.houstontx.gov/superneighborhoods/34.html,Y,Y,Y,88595118.0010333,49215.2282269801
65,47349.751,68,GREATER OST / SOUTH UNION,{98E2AD91-55F1-4687-A4CF-E3B019060B82},0,0,Yes,2006-02-14T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/68.html,,,Y,120788071.35231,47349.751114577
66,41012.682,74,PARK PLACE,{3AD24533-1C7D-4B5F-82C1-42BD2496DD53},0,0,,,http://www.houstontx.gov/superneighborhoods/74.html,,,Y,51617872.0814811,41012.6826393199
67,83449.25,75,MEADOWBROOK / ALLENDALE,{50BB9368-7DAF-4621-9A6A-BF830ECFDDF4},0,0,,,http://www.houstontx.gov/superneighborhoods/75.html,,,Y,191858340.344415,83449.2501941203
68,33796.029,33,MEDICAL CENTER AREA,{F745EA3F-823D-4E78-9256-DB44D14333A7},0,0,,,http://www.houstontx.gov/superneighborhoods/33.html,,,N,48860366.1128159,33796.0290171383
69,48622.413,27,GULFTON,{7277D4A7-22FC-45AB-8FB9-BCD55BF05050},0,0,No,2000-06-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/27.html,Y,,Y,78955717.0866905,48622.4122129414
70,47616.773,83,MACGREGOR,{C4113B6A-67AF-409F-A437-B31599E76037},0,0,Yes,2005-03-14T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/83.html,,,Y,93988856.5939656,47616.7720664224
71,44697.039,69,GULFGATE RIVERVIEW / PINE VALLEY,{D79D02C4-770D-45BD-9269-FA29F6876706},0,0,,,http://www.houstontx.gov/superneighborhoods/69.html,Y,,Y,78940669.7575399,44697.039365617
72,44994.775,65,HARRISBURG / MANCHESTER,{B2389263-933A-4443-83F2-3593D3132394},0,0,No,2000-11-20T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/65.html,Y,,Y,67552724.769134,44994.7728645425
73,40113.96,28,UNIVERSITY PLACE,{AD50BD75-D13B-47EC-8D0C-B02E8304AD1D},0,0,No,2000-03-06T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/28.html,,,N,77056992.7836903,40113.9607142894
74,48181.159,19,WESTCHASE,{3780712A-CD52-4285-9F4D-E00B730F8B4E},0,0,Yes,2010-10-12T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/19.html,,,Y,120481807.340481,48181.1590194655
75,16994.764,66,MUSEUM PARK,{460893A8-1126-4927-A005-2933D32C2ED1},0,0,Yes,2010-05-18T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/66.html,,,N,15657117.6475039,16994.7644890236
76,35165.833,88,LAWNDALE / WAYSIDE,{2B706213-FE00-4554-9333-0468E16E7204},0,0,Yes,2000-06-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/88.html,Y,,Y,78641978.7755864,35165.8326843066
77,48738.213,87,GREENWAY / UPPER KIRBY AREA,{F48586B3-D629-4969-8908-03B3DA17D86F},0,0,No,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/87.html,,,N,82730488.2741802,48738.2133518894
78,40699.213,67,GREATER THIRD WARD,{8084B406-7278-4EB0-BDDB-9439DBE38A41},0,0,Yes,2002-06-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/67.html,Y,Y,Y,80657743.5998969,40699.2125264355
79,70198.434,20,MID WEST,{ADC2F96F-74AF-4BAB-BEA1-78C9D86DA371},0,0,Yes,2008-09-09T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/20.html,,,N,150592564.635153,70198.4327894089
80,31864.779,64,GREATER EASTWOOD,{CD5492EE-D6AD-410B-A321-62AD694713DF},0,0,Yes,2000-06-22T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/64.html,Y,,Y,52277177.2935886,31864.7791295897
81,27528.497,62,MIDTOWN,{0EB8DD48-BF71-4DB2-A14E-B61655D1DDDB},0,0,,,http://www.houstontx.gov/superneighborhoods/62.html,,,N,34689812.900351,27528.4972221319
82,40086.762,32,BRAESWOOD,{2925EC31-9653-4C1E-9681-7B10C68C248D},0,0,,,http://www.houstontx.gov/superneighborhoods/32.html,,,N,87016591.4046868,40086.7618494725
83,53183.903,31,MEYERLAND AREA,{42339BDA-C81D-4AE7-9007-A3A2C131BAED},0,0,,,http://www.houstontx.gov/superneighborhoods/31.html,,,N,114506806.204727,53183.9023855534
84,38704.285,79,EDGEBROOK AREA,{64CF0554-2A85-4EAB-8D4D-7FEF2950EF9A},0,0,,,http://www.houstontx.gov/superneighborhoods/79.html,,,Y,83650629.3410095,38704.284533516
85,40738.538,82,MAGNOLIA PARK,{1BE8C0F2-8745-4EAC-8FF9-8658BD74BC05},0,0,No,2000-11-20T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/82.html,Y,Y,Y,70521410.9649356,40738.5372845268
86,63736.5,23,AFTON OAKS / RIVER OAKS AREA,{21DC6CE2-EC89-471B-AD34-0811ABB40527},0,0,No,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/23.html,,,N,100667673.065364,63736.4984374267
87,63745.3,18,BRIAR FOREST,{377E8BE5-052C-4E7F-8D1C-5D5E62EC0363},0,0,Yes,2009-08-11T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/18.html,,,N,187515217.919351,63745.2998809231
88,38737.33,24,NEARTOWN - MONTROSE,{8B16C753-FAD1-4C73-8347-5D5B78A2B3DA},0,0,Yes,2001-10-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/24.html,,,N,91165504.9015234,38737.3290656016
9,136644.963,16,MEMORIAL,{7E98D2F0-60FE-4C2E-9B83-E8095463935F},0,0,Yes,2010-12-15T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/16.html,,,N,275312088.401974,131791.41783012
22,72548.445,10,SPRING BRANCH WEST,{F9E34D75-B001-4F95-9228-813A513E6AF9},0,0,Yes,2000-05-11T00:00:00.000Z,http://www.houstontx.gov/superneighborhoods/10.html,,,N,229021374.493748,96562.3575478963
48,145251.999,9,ADDICKS PARK TEN,{E2A62333-8463-4744-9BEB-2046A5F34C1E},0,0,,,http://www.houstontx.gov/superneighborhoods/9.html,,,N,653292432.188044,145118.3964617
